alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso
2243330372,G,I.S.C. ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,89,100,100,8,8,8,4,97,28,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330075,R,I.C.,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,100,100,75,7,9,8,3,93,27,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330325,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,100,100,75,7,9,8,3,93,27,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330042,R,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,88,89,88,100,7,8,7,4,90,26,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330209,C,I.I.S.,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88,78,88,100,7,7,7,4,86,25,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330117,R,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,88,67,100,75,7,6,8,3,83,24,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330295,T,I.N.,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88,67,88,100,7,6,7,4,83,24,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330008,S,I.C.,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,88,67,88,75,7,6,7,3,79,23,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330232,C,I.I.S.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,100,67,88,50,8,6,7,2,79,23,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330331,I,I.S.C.,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,100,44,88,100,8,4,7,4,79,23,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330339,G,I.S.C. ,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,88,56,100,75,7,5,8,3,79,23,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330062,R,I.C.,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,88,33,100,100,7,3,8,4,76,22,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330004,A,I.C.,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,88,78,63,75,7,7,5,3,76,22,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330033,A,I.C.,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,100,56,75,75,8,5,6,3,76,22,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330126,A,I.C.,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,88,56,75,100,7,5,6,4,76,22,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330103,R,I.C.,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,88,56,88,50,7,5,7,2,72,21,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330384,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,88,89,63,25,7,8,5,1,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2213320582,H,I.S.C.,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,75,67,88,50,6,6,7,2,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330390,H,I.S.C.,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,88,67,88,25,7,6,7,1,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330249,C,I.I.S.,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,75,56,75,100,6,5,6,4,72,21,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330199,D,I.I.S.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,88,67,88,25,7,6,7,1,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2213270084,A,I.C.,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,75,67,63,100,6,6,5,4,72,21,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330124,A,I.C.,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,88,56,63,100,7,5,5,4,72,21,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330024,R,I.C.,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,88,56,100,0,7,5,8,0,69,20,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330045,R,I.C.,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,63,78,100,0,5,7,8,0,69,20,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330384,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,88,78,63,25,7,7,5,1,69,20,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243335005,T,I.N.,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,75,44,88,75,6,4,7,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330344,H,I.S.C.,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,75,56,75,75,6,5,6,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330362,H,I.S.C.,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,75,44,88,75,6,4,7,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330311,H,I.S.C.,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,50,100,50,75,4,9,4,3,69,20,REPROBADO,APROBADO,REPROBADO,APROBADO,APROBADO,SI
2243330344,H,I.S.C.,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,75,56,75,75,6,5,6,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330208,C,I.I.S.,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,88,44,75,75,7,4,6,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330191,D,I.I.S.,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,75,67,88,25,6,6,7,1,69,20,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2213208016,A,I.C.,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,88,78,75,0,7,7,6,0,69,20,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330346,G,I.S.C. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,100,89,38,25,8,8,3,1,69,20,APROBADO,APROBADO,REPROBADO,REPROBADO,APROBADO,SI
2243330163,E,I.I.S.,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,88,56,100,0,7,5,8,0,69,20,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243335016,R,I.C.,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,75,89,50,25,6,8,4,1,66,19,APROBADO,APROBADO,REPROBADO,REPROBADO,APROBADO,SI
2243330047,R,I.C.,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,63,67,100,0,5,6,8,0,66,19,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330362,H,I.S.C.,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,75,33,88,75,6,3,7,3,66,19,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2241390312,H,I.S.C.,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,50,89,75,25,4,8,6,1,66,19,REPROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330179,C,I.I.S.,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,88,67,75,0,7,6,6,0,66,19,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330393,I,I.S.C.,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,88,56,88,0,7,5,7,0,66,19,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330090,A,I.C.,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,100,56,75,0,8,5,6,0,66,19,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330359,G,I.S.C. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,100,67,50,25,8,6,4,1,66,19,APROBADO,APROBADO,REPROBADO,REPROBADO,APROBADO,SI
2243330051,R,I.C.,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,88,33,88,25,7,3,7,1,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330071,R,I.C.,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,63,44,75,75,5,4,6,3,62,18,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330098,B,I.C.,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,75,22,88,75,6,2,7,3,62,18,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330074,S,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,88,56,63,25,7,5,5,1,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330370,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,88,56,75,0,7,5,6,0,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2213267004,H,I.S.C.,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,63,44,100,25,5,4,8,1,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2203267191,C,I.I.S.,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,75,67,75,0,6,6,6,0,62,18,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330171,C,I.I.S.,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,88,33,63,75,7,3,5,3,62,18,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330187,D,I.I.S.,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,63,67,63,50,5,6,5,2,62,18,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330239,D,I.I.S.,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,75,22,88,75,6,2,7,3,62,18,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330218,D,I.I.S.,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,88,22,63,100,7,2,5,4,62,18,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330333,J,I.S.C.,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,75,78,50,25,6,7,4,1,62,18,APROBADO,APROBADO,REPROBADO,REPROBADO,APROBADO,SI
2243330340,I,I.S.C.,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,88,33,100,0,7,3,8,0,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330360,I,I.S.C.,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,100,44,75,0,8,4,6,0,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330049,A,I.C.,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,50,56,75,75,4,5,6,3,62,18,REPROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330383,G,I.S.C. ,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,100,33,88,0,8,3,7,0,62,18,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330343,G,I.S.C. ,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,63,44,63,100,5,4,5,4,62,18,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
2243330006,R,I.C.,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,100,22,75,25,8,2,6,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330112,S,I.C.,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,75,33,100,0,6,3,8,0,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330036,S,I.C.,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,88,56,63,0,7,5,5,0,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330323,H,I.S.C.,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,88,11,75,75,7,1,6,3,59,17,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330213,D,I.I.S.,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,63,44,88,25,5,4,7,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330135,D,I.I.S.,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,75,33,75,50,6,3,6,2,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330195,D,I.I.S.,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,100,22,75,25,8,2,6,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330129,D,I.I.S.,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,75,33,63,75,6,3,5,3,59,17,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330201,D,I.I.S.,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,88,22,63,75,7,2,5,3,59,17,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330285,Q,I.N.,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,88,22,75,50,7,2,6,2,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330388,G,I.S.C. ,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,88,33,50,75,7,3,4,3,59,17,APROBADO,REPROBADO,REPROBADO,APROBADO,REPROBADO,SI
2243330127,E,I.I.S.,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,88,22,88,25,7,2,7,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2233390362,R,I.C.,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,88,11,88,25,7,1,7,1,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2203510162,B,I.C.,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,38,33,75,100,3,3,6,4,55,16,REPROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330093,B,I.C.,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,50,44,75,50,4,4,6,2,55,16,REPROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2203223014,S,I.C.,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,75,11,75,75,6,1,6,3,55,16,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330341,H,I.S.C.,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,63,56,50,50,5,5,4,2,55,16,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2213216002,C,I.I.S.,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,88,33,38,75,7,3,3,3,55,16,APROBADO,REPROBADO,REPROBADO,APROBADO,REPROBADO,SI
2213266049,C,I.I.S.,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,75,33,88,0,6,3,7,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2222390025,D,I.I.S.,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,38,56,75,50,3,5,6,2,55,16,REPROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330223,D,I.I.S.,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,75,33,88,0,6,3,7,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330394,J,I.S.C.,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,88,44,50,25,7,4,4,1,55,16,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2233336140,Q,I.N.,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,75,44,50,50,6,4,4,2,55,16,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2243330296,Q,I.N.,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,38,100,25,50,3,9,2,2,55,16,REPROBADO,APROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2243330095,A,I.C.,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,75,56,63,0,6,5,5,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330100,A,I.C.,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,63,56,75,0,5,5,6,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330108,A,I.C.,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,63,44,63,50,5,4,5,2,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2213222008,A,I.C.,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,50,67,63,25,4,6,5,1,55,16,REPROBADO,APROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330001,R,I.C.,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,75,22,75,25,6,2,6,1,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330031,R,I.C.,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,50,33,63,75,4,3,5,3,52,15,REPROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330395,H,I.S.C.,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,63,33,88,0,5,3,7,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330318,H,I.S.C.,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,38,33,100,25,3,3,8,1,52,15,REPROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2213217001,C,I.I.S.,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,63,44,75,0,5,4,6,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330128,C,I.I.S.,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,75,33,50,50,6,3,4,2,52,15,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2243330172,C,I.I.S.,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,63,56,63,0,5,5,5,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330138,D,I.I.S.,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,75,22,88,0,6,2,7,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330231,D,I.I.S.,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,75,33,75,0,6,3,6,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
